account_id,customer_id,account_type,status,open_date,balance
ACC200000,CUST108318,savings,active,2024-06-21 06:03:43.489743,75774.3
ACC200001,CUST101417,savings,active,2026-06-20 18:03:04.929875,94003.4
ACC200002,CUST100308,current,active,2018-06-26 13:07:24.775370,147687.98
ACC200003,CUST102947,nri,active,2020-06-01 09:03:37.479376,54216.93
ACC200004,CUST100364,savings,active,2016-08-31 13:29:33.670718,59577.99
ACC200005,CUST106589,loan,active,2021-06-27 11:58:22.758119,153706.77
ACC200006,CUST108624,savings,dormant,2019-06-18 22:19:41.754579,77636.71
ACC200007,CUST108804,savings,active,2024-11-17 09:35:23.168654,16613.88
ACC200008,CUST100966,current,active,2025-10-11 23:43:33.534587,67676.67
ACC200009,CUST105421,savings,closed,2017-10-19 10:37:32.355073,120723.59
ACC200010,CUST105297,savings,active,2025-04-05 13:28:51.917136,25806.1
ACC200011,CUST105129,savings,active,2018-10-14 14:57:04.042943,14107.47
ACC200012,CUST999836,savings,active,2019-09-18 12:25:06.909727,39757.18
ACC200013,CUST101196,loan,active,2025-06-24 12:45:36.509246,85857.81
ACC200014,CUST100710,savings,dormant,2020-04-14 07:41:34.304747,135759.0
ACC200015,CUST107238,savings,active,2016-10-22 11:20:33.617053,52829.35
ACC200016,CUST106065,current,active,2017-02-26 20:00:09.830016,153657.97
ACC200017,CUST104993,savings,dormant,2020-01-04 19:43:58.495269,72847.35
ACC200018,CUST101809,savings,closed,2025-06-19 17:02:01.979989,112029.19
ACC200019,CUST101043,savings,active,2017-07-11 05:14:20.656239,145501.74
ACC200020,CUST106281,loan,active,2018-08-04 20:51:16.184397,43711.54
ACC200021,CUST109123,loan,active,2026-04-17 22:50:30.418429,58421.26
ACC200022,CUST109499,loan,active,2020-09-29 19:32:53.860385,104589.41
ACC200023,CUST102373,savings,active,2025-05-07 19:06:45.378789,54661.41
ACC200024,CUST105819,savings,active,2020-06-19 10:20:45.443177,73307.97
ACC200025,CUST105327,current,active,2021-10-24 05:27:22.795146,26874.56
ACC200026,CUST109500,current,active,2026-02-02 14:01:08.780052,112537.74
ACC200027,CUST108340,savings,active,2026-03-09 00:01:35.349759,88743.27
ACC200028,CUST101244,current,active,2018-04-17 08:59:44.131986,69670.3
ACC200029,CUST106748,savings,active,2023-05-24 18:32:49.081627,32695.12
ACC200030,CUST108160,savings,active,2020-11-15 06:30:18.472454,142380.68
ACC200031,CUST102346,savings,active,2018-02-18 21:16:08.042911,31857.14
ACC200032,CUST103478,loan,active,2016-11-23 22:39:39.980738,179479.94
ACC200033,CUST109996,loan,active,2021-09-15 22:01:39.767869,18850.16
ACC200034,CUST103718,savings,active,2017-07-29 15:55:37.211252,13846.4
ACC200035,CUST100928,savings,active,2026-01-02 08:34:35.467329,93580.75
ACC200036,CUST109740,savings,active,2019-02-19 00:48:45.927379,23931.52
ACC200037,CUST108054,savings,active,2021-01-11 03:29:17.606473,59478.43
