customer_id,name,dob,onboarding_date,kyc_status,kyc_expiry_date,risk_flag,segment
CUST100000,Allison Hill,2007-02-15,2024-01-16 01:54:53.133861,verified,2024-12-19 01:54:53.133861,none,premium
CUST100001,Noah Rhodes,1980-05-07,2026-08-03 16:44:49.335714,verified,2027-11-25 16:44:49.335714,none,premium
CUST100002,Angie Henderson,1967-06-15,2017-01-18 12:37:43.650370,pending,2019-03-19 12:37:43.650370,none,retail
CUST100003,Daniel Wagner,1943-09-13,2019-02-01 17:03:51.875675,verified,2021-03-07 17:03:51.875675,none,retail
CUST100004,Cristian Santos,1952-12-16,2022-08-12 03:44:37.609581,verified,2022-04-27 03:44:37.609581,none,retail
CUST100005,Connie Lawrence,1953-10-21,2020-10-15 01:04:09.999888,expired,2021-07-12 01:04:09.999888,none,retail
CUST100006,Abigail Shaffer,1952-12-15,2023-01-04 10:37:20.440304,verified,2025-01-29 10:37:20.440304,none,retail
CUST100007,Gina Moore,1961-05-31,2022-07-01 18:56:45.164264,verified,2022-06-13 18:56:45.164264,none,corporate
CUST100008,Gabrielle Davis,1986-07-05,2024-07-06 08:57:56.306763,verified,2025-12-22 08:57:56.306763,none,retail
CUST100009,Ryan Munoz,1944-07-09,2017-05-07 17:23:38.883285,verified,2018-01-31 17:23:38.883285,none,retail
CUST100010,Monica Herrera,1975-03-29,2021-01-15 19:23:34.584194,verified,2020-12-31 19:23:34.584194,none,premium
CUST100011,Jamie Arnold,1966-12-12,2025-03-26 08:04:14.469146,rejected,2024-11-13 08:04:14.469146,none,retail
CUST100012,Lisa Hensley,1979-02-12,2020-04-06 17:14:11.841596,verified,2020-08-02 17:14:11.841596,none,retail
CUST100013,Michele Williams,2007-05-04,2021-09-03 07:48:30.277249,pending,2021-02-16 07:48:30.277249,none,retail
CUST100014,Dylan Miller,2001-07-20,2016-11-08 17:46:11.194648,verified,2016-11-21 17:46:11.194648,none,corporate
CUST100015,Brian Ramirez,2002-08-05,2018-11-18 00:15:10.929249,verified,2019-12-26 00:15:10.929249,none,retail
CUST100016,Holly Wood,1982-10-29,2021-04-09 21:03:39.339704,verified,2023-02-06 21:03:39.339704,none,premium
CUST100017,Derek Zuniga,1972-07-10,2020-08-16 20:01:57.452614,verified,2021-08-06 20:01:57.452614,none,sme
CUST100018,Lisa Jackson,1985-10-29,2023-10-12 18:36:55.801018,pending,2025-05-31 18:36:55.801018,none,retail
CUST100019,Carla Gray,1991-11-01,2022-10-02 18:00:04.564300,verified,2022-06-05 18:00:04.564300,none,premium
CUST100020,Margaret Hawkins DDS,1965-05-22,2025-06-08 03:37:19.779881,verified,2025-10-20 03:37:19.779881,none,retail
CUST100021,Patty Perez,2002-11-08,2025-03-07 01:23:56.298666,verified,2026-08-13 01:23:56.298666,none,retail
CUST100022,Ethan Adams,1970-10-27,2019-01-19 05:04:07.589821,expired,2018-08-31 05:04:07.589821,none,retail
CUST100023,Tommy Walter,1953-12-04,2016-10-25 08:43:45.601933,pending,2018-01-10 08:43:45.601933,none,corporate
CUST100024,Matthew Foster,1992-11-15,2025-03-05 23:07:55.659276,verified,2025-02-18 23:07:55.659276,none,retail
CUST100025,Judy Baker,1973-11-17,2019-12-05 23:05:19.661505,verified,2020-08-22 23:05:19.661505,none,retail
CUST100026,Justin Baker,1941-02-12,2020-02-09 14:28:47.627237,verified,2021-06-15 14:28:47.627237,none,sme
CUST100027,Stephanie Ross,1948-06-30,2018-03-22 23:34:58.249306,verified,2020-08-23 23:34:58.249306,none,retail
CUST100028,Zachary Hicks,1963-06-17,2023-07-25 18:48:15.624396,verified,2023-04-15 18:48:15.624396,none,sme
CUST100029,Anthony Rodriguez,1986-09-23,2019-06-10 02:49:07.083714,verified,2020-07-19 02:49:07.083714,none,premium
CUST100030,Rebecca Henderson,1947-02-26,2018-05-28 22:27:13.747057,verified,2019-06-22 22:27:13.747057,none,premium
CUST100031,James Ferrell,2006-04-05,2021-09-01 20:56:51.141152,expired,2021-04-23 20:56:51.141152,none,sme
CUST100032,Tricia Valencia,1986-08-07,2024-02-20 06:25:24.157114,verified,2025-06-08 06:25:24.157114,none,premium
CUST100033,Nathan Maldonado,1954-08-13,2019-05-02 18:22:00.396648,verified,2019-01-05 18:22:00.396648,none,retail
CUST100034,Debra Davidson,1995-08-09,2023-11-08 17:17:15.182159,verified,2025-05-17 17:17:15.182159,none,corporate
CUST100035,Jeffrey Chavez,1990-04-14,2021-04-03 17:55:55.936393,verified,2021-05-01 17:55:55.936393,none,corporate
CUST100036,Sherri Baker,1998-06-09,2020-09-03 08:48:00.037395,verified,2020-07-02 08:48:00.037395,none,sme
CUST100037,Cassandra Gaines,1940-12-12,2020-03-25 21:23:58.372415,verified,2019-11-24 21:23:58.372415,none,premium
CUST100038,Elizabeth Fowler,2006-05-08,2018-02-04 05:23:55.027741,verified,2018-12-06 05:23:55.027741,none,retail
CUST100039,Brittany Farmer,1969-06-20,2019-12-18 18:44:05.156117,verified,2020-02-15 18:44:05.156117,none,retail
CUST100040,Paula Moreno,1963-10-11,2025-06-04 09:19:55.366436,verified,2026-04-09 09:19:55.366436,pep,retail
